estimator,k_placements,mechanism,operating_point,target_r2,beta_true,n_subjects,rate,aur_lo,aur_hi,aur_median,dbeta_mean,dbeta_lo,dbeta_hi,n_sim
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,84,1024Hz,0.9334744893632947,1.0647538846206424,0.9946916271044224,0.0032869274925513316,-0.03385829145800981,0.039715224633043236,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,84,1024Hz,0.4675220431271774,0.5300890366002625,0.49781756064817195,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,84,1024Hz,1.7697307308397145,2.2762192463613817,1.9907481375477774,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,84,500Hz,0.9147876262982434,1.0984076558494227,1.000472440312816,-0.0003680885700964761,-0.05125588170589069,0.04937026968985133,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,84,500Hz,0.4295636153055323,0.5744261146743113,0.49994650345620284,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,84,500Hz,1.7451544382841027,2.322515376765719,2.0088463445218006,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,84,500Hz,0.9401560807388698,1.06989555282695,1.0014970489217372,-0.0006809364464270149,-0.036359888375303684,0.03539355851754014,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,84,500Hz,0.47058819190661444,0.533947582754305,0.5002461562982349,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,84,500Hz,1.773089932427646,2.280542079526156,2.0060650734033945,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,90,1024Hz,0.9150007200361753,1.0896547652291582,1.0000913532082352,9.056863150824568e-05,-0.04801064837166521,0.04994470362312522,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,90,1024Hz,0.4319640594779398,0.5698948231378832,0.4994332252811149,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,90,1024Hz,1.7432536231685063,2.3117198413096394,2.0025589779283655,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,90,1024Hz,0.9358582166971278,1.0621545531058942,0.9945897837983434,0.0031421749145764915,-0.03260200793243995,0.03817469218496171,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,90,1024Hz,0.4689924000444036,0.528814968621911,0.4977643303517334,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,90,1024Hz,1.7733931750823444,2.255107773420083,1.9929436843146306,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,90,500Hz,0.9143607465490899,1.0916865546451002,0.999481146595572,0.00023607529964119706,-0.0481683359605231,0.04936296955580119,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,90,500Hz,0.4314938970467127,0.5688286754460019,0.49903265030738897,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,90,500Hz,1.7567969039688556,2.3195704799312824,2.0070533049430246,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,90,500Hz,0.94130734642651,1.0645233286991085,1.001134189577475,-0.0004990164573344415,-0.03374109671880219,0.03470149513086312,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,90,500Hz,0.47134155163805513,0.5321212531815429,0.5007687090019457,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,90,500Hz,1.7843963574788784,2.2805256966304728,2.0086740425119727,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,27,1024Hz,0.34175487548865346,3.0547122691748507,1.0071253242096145,-0.00044076133828113896,-0.09235338189590828,0.08831552942418294,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,27,1024Hz,0.03374465619156907,1.7198763890749056,0.5019086552977163,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,27,1024Hz,0.5566860924488366,28.390701414911028,1.9978680401365847,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,27,1024Hz,0.6054114973373657,2.549530444223253,0.9886526812059573,0.0009012773189630823,-0.061108591117726055,0.06509689377016552,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,27,1024Hz,0.3034999121513124,1.3257265449027933,0.4993338840989529,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,27,1024Hz,0.8852318424346978,31.404201056074875,2.022314340586306,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,27,500Hz,0.31122082007738694,2.8855341684846088,0.9992521698061393,0.000654393694192119,-0.08628029089807418,0.08811492534061861,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,27,500Hz,0.03664158153509528,1.764761891444003,0.5056474145029297,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,27,500Hz,0.5324181702201173,30.690325536243,1.9870582314875607,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,27,500Hz,0.6068905168255759,2.579086208064226,1.007160608751779,-0.00020295539402256503,-0.06113979338906141,0.06428996859938031,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,27,500Hz,0.3055292850994019,1.2828367844826305,0.5057850952758955,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,27,500Hz,0.8927651233699425,30.0702444627015,2.018725367074417,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,28,1024Hz,0.3381741998232097,3.072666551675444,1.0088589976850693,-0.000578377682861175,-0.09157886565373265,0.08895333360946414,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,28,1024Hz,0.03784449214951963,1.6758585952158143,0.4931206567004001,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,28,1024Hz,0.5917550491718553,25.40248090686716,2.002408369967572,,,,4000
matched_contrast,1000,pure_background,small_effect,0.01,0.1,28,1024Hz,0.6170868903239977,2.75779106463772,1.0001820085681148,-0.0003471863000504626,-0.06368224303115276,0.06187549686472682,4000
matched_contrast,1000,stimulus_locked,small_effect,0.01,0.1,28,1024Hz,0.31305865112945314,1.273830867571308,0.5040591101894276,,,,4000
matched_contrast,1000,dilution,small_effect,0.01,0.1,28,1024Hz,0.8944285424940865,29.271056369873367,1.9589582564185435,,,,4000
single_draw,1,pure_background,small_effect,0.01,0.1,28,500Hz,0.3341318181151099,2.8259528474010738,1.0078798866457535,0.00036801230552589026,-0.0852619520678512,0.0895978214534222,4000
single_draw,1,stimulus_locked,small_effect,0.01,0.1,28,500Hz,0.030998918422534782,1.6773519254019797,0.5091992099399627,,,,4000
single_draw,1,dilution,small_effect,0.01,0.1,28,500Hz,0.5680946734502962,29.34658142821992,2.0444752930906938,,,,4000
