dataset,config,model,subject,real_slope,pseudo_mean,d,n_pseudo_draws,used
erp_core,config4,M1_RMS_Fz_0_150,sub-031,0.15855599736305648,-0.03505176699259216,0.19360776435564864,925,True
erp_core,config4,M1_RMS_Fz_0_150,sub-033,-0.023434266065538098,-0.07766923033212252,0.05423496426658442,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-034,-0.1735544195798546,0.08792225618462539,-0.26147667576447997,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-035,0.16810384704065484,0.09613967588544048,0.07196417115521436,934,True
erp_core,config4,M1_RMS_Fz_0_150,sub-037,-0.3604347382150824,0.040500958671157425,-0.4009356968862398,8,False
erp_core,config4,M1_RMS_Fz_0_150,sub-038,-0.01543955012396545,0.008913746303507853,-0.024353296427473303,1000,True
erp_core,config4,M1_RMS_Fz_0_150,sub-039,-0.05883965941132684,,,0,False
erp_core,config4,M1_RMS_Fz_0_150,sub-040,-0.011798227241670818,0.0601184949969801,-0.07191672223865092,871,True
erp_core,config4,M4a_mean_Fz,sub-001,0.1489389109623693,0.36156890017459226,-0.21262998921222295,1000,True
erp_core,config4,M4a_mean_Fz,sub-002,0.0957210562777402,0.08292311255157546,0.012797943726164746,1000,True
erp_core,config4,M4a_mean_Fz,sub-003,0.39711451957040245,-0.2327591101369298,0.6298736297073322,4,False
erp_core,config4,M4a_mean_Fz,sub-005,0.30122804682717785,,,0,False
erp_core,config4,M4a_mean_Fz,sub-006,0.2046609749242969,-0.10685089861788138,0.3115118735421783,958,True
erp_core,config4,M4a_mean_Fz,sub-007,0.18043544293703442,0.1072110842297731,0.07322435870726132,594,True
erp_core,config4,M4a_mean_Fz,sub-010,0.08587235012907911,0.1721047114786343,-0.08623236134955518,717,True
erp_core,config4,M4a_mean_Fz,sub-011,0.1197559970514473,0.17729274442588178,-0.05753674737443448,1000,True
erp_core,config4,M4a_mean_Fz,sub-012,0.08227248184836951,0.18193688811861494,-0.09966440627024543,1000,True
erp_core,config4,M4a_mean_Fz,sub-013,0.15694339538999783,0.17172198868161728,-0.014778593291619457,1000,True
erp_core,config4,M4a_mean_Fz,sub-014,0.036180212951989935,0.26428763739852273,-0.2281074244465328,999,True
erp_core,config4,M4a_mean_Fz,sub-015,0.034572970130303984,0.06587408576452776,-0.031301115634223775,1000,True
erp_core,config4,M4a_mean_Fz,sub-016,0.5018046694590839,0.25076709491304583,0.25103757454603803,1000,True
erp_core,config4,M4a_mean_Fz,sub-017,0.017119279320445907,0.04666997448300465,-0.029550695162558746,1000,True
erp_core,config4,M4a_mean_Fz,sub-019,0.13293123118918454,0.07471139186028466,0.058219839328899875,1000,True
erp_core,config4,M4a_mean_Fz,sub-020,0.03337021544637705,0.34728653119796604,-0.313916315751589,1000,True
erp_core,config4,M4a_mean_Fz,sub-021,0.006317882185547406,0.16500772168144276,-0.15868983949589535,994,True
erp_core,config4,M4a_mean_Fz,sub-022,0.08043610462290456,0.19576902925344636,-0.1153329246305418,1000,True
erp_core,config4,M4a_mean_Fz,sub-024,-0.020573345449651937,0.11640510709725543,-0.13697845254690738,1000,True
