subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300
sub-026,0.6177910265747998,0.5130957723005298,0.49325743527186205,0.23546479608813084,1.286836330274621,7.382508291598088e-06
sub-026,0.5185299387581237,0.35443362809571854,0.4110478627265517,0.1433500418331137,1.7865868202047284,1.375506675962806e-06
sub-026,0.565216569799904,0.37428218067147645,0.4110478627265517,0.17995281744018937,1.2789448116714404,6.676268775159453e-06
sub-026,0.47893055890846176,0.37985253225143806,0.4110478627265517,0.13829868573097384,1.4246224347648502,1.7449316285885003e-05
sub-026,0.6229241383788359,0.3858740986309947,0.6576765803624827,0.18443377051404095,1.59338551745949,1.6742252261538352e-05
sub-026,0.5779321200358947,0.34866750971503124,0.4110478627265517,0.13809526961155372,1.8615778224156734,1.7640302310448153e-06
sub-026,0.5527422237975074,0.4372138064227446,0.4110478627265517,0.17809384447752508,1.3747787205964488,1.2217023514167801e-05
sub-026,0.540130772664568,0.3128723212803394,0.4110478627265517,0.19364501110795077,1.4016854213508487,5.336680742822204e-06
sub-026,0.5384620265792534,0.5031035776720805,0.49325743527186205,0.19052264392154925,1.6583996964634125,6.49308899483579e-06
sub-026,0.4928178290580529,0.3140309021485324,0.24662871763593103,0.09934336754640927,2.46727462342804,4.451215843348011e-07
sub-026,0.5216698442412047,0.29849298855599654,0.4110478627265517,0.13010155745475255,1.339273070906613,-1.1495280595271645e-05
sub-026,0.5547505754535487,0.3836460607135246,0.49325743527186205,0.1664025384093505,1.320167374709753,-3.1869805868521416e-06
sub-026,0.5740172316891166,0.22793206804600688,0.4110478627265517,0.12256662496792176,1.60974494406654,6.5486770168355465e-06
sub-026,0.5691524128025661,0.2607262624632527,0.32883829018124133,0.14377251872402577,1.9075616354608849,4.041171645092254e-06
sub-026,0.5545261050778031,0.6359887667199967,0.5754670078171724,0.20757296241960163,1.2041405243624725,1.5884210297105783e-06
sub-026,0.5718220282306016,0.47519844612283957,0.49325743527186205,0.16336223247591047,1.4163815107353501,4.47756066764332e-06
sub-026,0.4970176400348177,0.3192304301867068,0.49325743527186205,0.1622586485111401,1.4494506681855002,-5.541519281997244e-06
sub-026,0.5949281942423349,0.46005329839256753,0.49325743527186205,0.20028177370386194,1.4048544567446892,-3.491131187258319e-06
sub-026,0.4902368043636884,0.3859930046953441,0.4110478627265517,0.14645986613793333,1.572654883081732,3.770090085078036e-06
sub-026,0.5318754369193467,0.38496658655982335,0.49325743527186205,0.18382088377062034,1.1425631187461243,-4.3193154235218045e-06
sub-026,0.5165763667725396,0.32016752759626926,0.49325743527186205,0.12406224746038974,2.333197157687233,7.260488431932939e-06
sub-026,0.6306435867459348,0.26262676610963365,0.32883829018124133,0.1245827561140948,2.1855397765198075,2.2551163028843476e-06
sub-026,0.6006737645600598,0.3933437475758196,0.5754670078171724,0.14656356405417598,1.9188853616892239,1.3957190673095148e-05
sub-019,0.4764939559586691,0.2626682620378517,0.32883829018124133,0.08139244455279293,2.9380904408242503,1.256592017482735e-06
sub-019,0.5195003171847205,0.3513978868378886,0.4110478627265517,0.17842612412681297,1.4819603202533096,-4.905410111938303e-06
sub-019,0.4891674804180187,0.19637331024960494,0.49325743527186205,0.16490416956280587,1.6829956106768265,-4.47897472752967e-06
sub-019,0.5752254580774614,0.40251089621073294,0.5754670078171724,0.20568623616738624,1.3909865625814748,-2.9548584617001196e-06
sub-019,0.5617623146491274,0.3420047541909387,0.4110478627265517,0.1371940986930867,1.4353254438343728,-6.328091944068025e-07
sub-019,0.5583790794098652,0.38853604600771635,0.5754670078171724,0.143062768056048,2.0354526050940325,5.8271056069858675e-06
sub-019,0.5225583250778879,0.1865859555804122,0.4110478627265517,0.11945277877416086,1.4486386750014681,4.485227043844161e-06
sub-019,0.5502803436659472,0.37515975861283546,0.4110478627265517,0.1364837324442088,1.572079929925158,-3.008896799399486e-06
sub-019,0.5917637973754214,0.4262270995565935,0.5754670078171724,0.19766342841926415,1.2860659691355822,-8.607871726671135e-07
sub-019,0.5828176720602659,0.30470376002121147,0.49325743527186205,0.11910017106203609,2.322212774387422,6.7339871418409e-06
sub-019,0.47254566013576904,0.3244238981050385,0.4110478627265517,0.14326284225312155,1.5991310164332886,9.013733734013977e-07
sub-019,0.5691524128025661,0.2546656378515617,0.24662871763593103,0.10507620350164514,2.6229189148336083,6.0772882852278036e-06
sub-019,0.6117294943091914,0.40123677199864327,0.4110478627265517,0.15092413042025757,1.6811932573095916,4.2883057133637794e-06
sub-019,0.4390476004859355,0.2544840030421851,0.32883829018124133,0.10095460222599653,1.446472246609002,-1.7203817174682497e-06
sub-019,0.5501959568383719,0.43413300297773616,0.49325743527186205,0.144466287697874,1.795056516961335,1.1934366126353639e-05
sub-019,0.4786740293879764,0.4274440148269396,0.4110478627265517,0.12994699893851858,1.4934370807681792,-1.8438111621272494e-06
sub-019,0.5547505754535487,0.44338434297045815,0.5754670078171724,0.18043182038488947,1.2984034092440238,8.765050635912047e-06
sub-019,0.46693810477219877,0.18464984655354572,0.32883829018124133,0.10003430449939599,1.202797108497287,-4.90732367856423e-06
sub-019,0.5261211495610538,0.17948582469316365,0.49325743527186205,0.113760430910993,1.4953025075168023,1.0815263852131874e-05
sub-010,0.5371491718780796,0.5482131558376111,0.6576765803624827,0.24585156778784747,1.1149990391060112,-1.009138717598362e-06
sub-010,0.5545261050778031,0.3579399662453191,0.5754670078171724,0.10605636848036551,2.4243189734395756,-6.426067448783153e-06
sub-010,0.593573651498887,0.45281122870536267,0.5754670078171724,0.19267916356265596,1.3364757476610272,-9.749137279943005e-07
sub-010,0.5962803134573204,0.6435502394205731,0.5754670078171724,0.30048319366128956,0.9259363183855843,-1.2726775767362136e-07
sub-010,0.5580861450245486,0.4529316453470881,0.4110478627265517,0.18980920051755293,1.342062301256925,-5.3423479083282145e-06
sub-010,0.5501959568383719,0.1498983700887279,0.4110478627265517,0.1125630286475252,2.6597702649639077,-2.025090637324507e-06
sub-010,0.5140283658616919,0.3900564827553194,0.4110478627265517,0.15008453971034535,1.6888277956264617,-2.524462364165035e-06
sub-010,0.5918835192978454,0.14385527596615852,0.49325743527186205,0.14718462857255663,1.8358196737986099,3.1553468577054837e-06
sub-010,0.6082923239269258,0.4448676559741933,0.4110478627265517,0.14897405109761552,1.9753893480284757,3.662469070387882e-06
sub-010,0.6156758503815998,0.6198749794536196,0.49325743527186205,0.20486329377188944,1.5157820414925467,1.295783592953041e-05
sub-010,0.5007588816879862,0.3184537311185346,0.4110478627265517,0.1419292356578137,1.68050429313231,-1.7128073925145584e-06
sub-010,0.6149896853095788,0.36166248544977136,0.6576765803624827,0.1752343591692511,1.7299450947192625,3.199301918340486e-06
sub-010,0.5935736514988871,0.4233663184374047,0.4110478627265517,0.1509925932229556,1.7023025898858624,7.383609877055993e-07
sub-010,0.5878174413030132,0.2966622482593652,0.5754670078171724,0.19504109281421933,1.3932206934940248,-2.260526007868513e-06
sub-010,0.5765800008209093,0.587786664902119,0.6576765803624827,0.26268052819331256,1.206419173959363,-6.643360713390664e-06
sub-010,0.5582608515966512,0.3537438231298735,0.49325743527186205,0.13182789304942488,1.8541313513994275,-1.3371315403591907e-05
sub-010,0.5563089818174048,0.49855553117417634,0.32883829018124133,0.20334315444915826,1.3105433200266432,-3.1103620384779172e-06
sub-010,0.5684158347112485,0.305175229899298,0.32883829018124133,0.14603497056077377,1.824356354838271,-1.073277299043421e-05
sub-010,0.5144947837199537,0.24285324612577264,0.32883829018124133,0.13191813123063525,1.7155778794196295,-5.270967634700901e-07
sub-010,0.5527422237975074,0.491407537908889,0.49325743527186205,0.14644658531711927,1.875261171828058,-1.9558095402038896e-06
sub-010,0.503998698162992,0.3995999886557664,0.5754670078171724,0.16201942109753747,1.4409613540772688,-1.3506457531191711e-05
sub-010,0.6110433292371705,0.4379642755011188,0.49325743527186205,0.1625871028662049,2.072791024008875,-7.386725818622137e-07
sub-010,0.5909818381699268,0.3172408746933253,0.4110478627265517,0.09859425032305846,2.6234888372539924,-9.481476475586633e-06
sub-010,0.6085664767048762,0.16315164068623442,0.4110478627265517,0.09472503085916904,2.923960505531977,-6.870212612686384e-06
sub-010,0.5574201908815842,0.4871431391224315,0.49325743527186205,0.16195809619537638,1.606456461967944,-2.49062901851163e-06
sub-010,0.6161850360717424,0.12921173148000623,0.4110478627265517,0.08661533671822001,3.0103640339105864,4.434493713182357e-06
sub-010,0.4764939559586691,0.2861471527336973,0.32883829018124133,0.16814939374270685,1.196652991436714,-5.573245791791969e-06
sub-010,0.6076308150108348,0.2928234719521996,0.4110478627265517,0.09016611136898613,3.704991024084137,-7.617340061130771e-06
sub-010,0.6189360413819871,0.2473540270648091,0.32883829018124133,0.1302504514767013,1.9823021930513967,5.332179855763666e-07
sub-010,0.5135099826693201,0.3475424603754599,0.4110478627265517,0.15276827619068806,1.950137544447972,-3.874930915794646e-06
sub-010,0.5913277174461157,0.6131044728864089,0.739886152907793,0.24637420161360107,1.3790345395722376,-3.2812850359087127e-07
sub-010,0.5462895804701012,0.32874355924955484,0.49325743527186205,0.14232351182831285,1.9672720048102061,-4.816238577940974e-06
sub-010,0.4469469084342476,0.4009504277536378,0.49325743527186205,0.12908218997004414,2.047484216366214,-2.6691461191372084e-06
sub-010,0.5814280380212363,0.36428919392397785,0.49325743527186205,0.1432385345118833,1.9178819128323268,-1.8779995936140785e-06
sub-010,0.572487982373566,0.5010694488206261,0.5754670078171724,0.22046717255931753,1.2242049394852126,6.345025233193424e-07
sub-010,0.5658530655794557,0.2803019651541584,0.5754670078171724,0.18864771600326333,1.5308292559497032,-5.251211845961707e-06
sub-010,0.5835647632213296,0.28001080195512945,0.4110478627265517,0.1243649648222695,2.2952490221254838,3.9900227129693274e-07
sub-010,0.45679696596695507,0.269273323041711,0.49325743527186205,0.07474022696408038,2.8571242425132146,-9.749118631405464e-06
sub-010,0.6036844589384266,0.3805487568436299,0.32883829018124133,0.13409564613647784,2.2765966460508036,4.196175406372037e-06
sub-017,0.6071698550609236,0.226687559748939,0.6576765803624827,0.2496255343914921,1.3024700528984412,-1.717137414194188e-06
sub-017,0.6138446705023917,0.4585749334221128,0.49325743527186205,0.23686701854654396,1.212760758037297,-1.3021598051322477e-06
sub-017,0.5771141162755501,0.4537836853789721,0.49325743527186205,0.18931168280013472,1.4584869269999032,-2.635550168247544e-06
sub-017,0.5617623146491274,0.20844376219392055,0.32883829018124133,0.12094254427924792,1.8495506206665575,1.2072872389403124e-06
sub-017,0.5580861450245486,0.4632846789969906,0.49325743527186205,0.15840931415386147,1.695719470915392,-9.306188083873809e-07
sub-017,0.5814280380212362,0.4342145213941503,0.49325743527186205,0.1323661920643914,2.306580927081757,-9.594816634740105e-09
sub-017,0.5940787227563603,0.5764229062518039,0.4110478627265517,0.23602854306244955,1.381605317144656,-5.9764652512116936e-06
sub-017,0.5022724519051495,0.4274440148269396,0.4110478627265517,0.14189482819619637,1.59038487387822,-1.846383541817405e-06
sub-017,0.5958298753702538,0.5123282536505257,0.6576765803624827,0.19036528266845293,1.4339617153822037,2.679856499869111e-06
sub-017,0.6101687041220221,0.48285177172358457,0.4110478627265517,0.1901994480459018,1.8624429454370788,2.707037233078239e-06
sub-017,0.477365142321613,0.3085034002653666,0.5754670078171724,0.12208558848742161,1.9759378278466904,1.311959493023623e-06
sub-017,0.5340782978848966,0.5130957723005298,0.5754670078171724,0.26547412094958306,1.0771453178475028,-5.341778504249543e-07
sub-017,0.47122906817951754,0.415278729556489,0.4110478627265517,0.15100025209114523,1.6819712463234728,4.561258942542845e-06
sub-017,0.5185299387581237,0.39147886613342453,0.32883829018124133,0.1367597693760791,1.922186003739442,-2.8082965174532395e-06
sub-017,0.5231834144583679,0.37985253225143806,0.32883829018124133,0.1273103461302784,1.7887015050781814,-5.897078441091652e-07
sub-017,0.5909818381699268,0.3223985094095509,0.4110478627265517,0.12293631876637358,2.286815359873713,5.932024103843721e-06
sub-017,0.611577171083243,0.4241572411203169,0.5754670078171724,0.22214710549833555,1.2110108034728135,3.8604994836055105e-06
sub-017,0.5791718141498696,0.5810298824392393,0.5754670078171724,0.25835810175951357,1.1558343289555257,-6.967473085757016e-07
sub-017,0.6110433292371705,0.5753641449035618,0.49325743527186205,0.21815399142085767,1.3744631706710493,7.472927941788698e-07
sub-017,0.5691524128025661,0.3690974639372896,0.4110478627265517,0.19107171600981546,1.434737805231127,5.865791228410346e-06
sub-017,0.6311381567404073,0.496436886313891,0.6576765803624827,0.24961078922015353,1.3574494299305293,7.41040918021397e-06
sub-017,0.5502803436659472,0.3513978868378886,0.49325743527186205,0.11294759546941502,2.270801822082822,1.7809310203085343e-06
sub-017,0.5332028158056714,0.3560168326941832,0.4110478627265517,0.18064020418852522,1.228879299706979,-4.408063122327014e-06
sub-017,0.5135099826693201,0.2657906509699277,0.6576765803624827,0.08381143861812744,3.3471189791046356,-4.380495923222141e-06
sub-017,0.5691524128025661,0.34364072609982554,0.4110478627265517,0.195835326857522,1.399653176949721,3.3938192378368417e-06
