beta,SE,z,p,R2_marginal,n_trials,n_subjects,electrode,kind,measure
0.07307940754075394,0.026582064522893644,2.7491998402838402,0.0059740950961453265,0.004630888255628944,1625,33,F3,real,perm_entropy_to_Pz
0.062410840526971864,0.026807934825039934,2.3280734205857985,0.019908205387029865,0.0033276587222755786,1625,33,F3,real,hjorth_mob_to_Pz
0.050969950483288055,0.031043087371494818,1.6419098356206345,0.10060869121436,0.002850311814143951,943,26,F3,pseudo,perm_entropy_to_Pz
0.054927318337120314,0.036123857997170244,1.5205274680634342,0.12837846060795677,0.002441656263848125,943,26,F3,pseudo,hjorth_mob_to_Pz
0.07301833627605445,0.025193576370063114,2.898291818656611,0.0037520130532764373,0.0051455707550211,1625,33,F4,real,perm_entropy_to_Pz
0.05872864236214825,0.026033039018368658,2.2559272592304684,0.02407518703931455,0.003129154502816444,1625,33,F4,real,hjorth_mob_to_Pz
0.025906461537185677,0.036063813277660534,0.7183505897650941,0.4725411443948253,0.0005457665454438879,943,26,F4,pseudo,perm_entropy_to_Pz
0.05916155766552365,0.03780498684255204,1.5649141186562552,0.11760304774094621,0.002589092650122626,943,26,F4,pseudo,hjorth_mob_to_Pz
0.048528275003242985,0.02610786017807664,1.8587611038300746,0.06306100802979375,0.0021220460985741157,1625,33,F7,real,perm_entropy_to_Pz
0.02620523715079819,0.02523869498722608,1.0382960435973927,0.29913225007543187,0.0006640783288114475,1625,33,F7,real,hjorth_mob_to_Pz
0.04846654858336364,0.03333027189710498,1.4541300092896443,0.14591026501856996,0.002236752965195874,943,26,F7,pseudo,perm_entropy_to_Pz
0.029432628212126864,0.03626162368210657,0.8116743053249019,0.41697854186897,0.0006980543375549045,943,26,F7,pseudo,hjorth_mob_to_Pz
0.06401938532073803,0.026650717985706094,2.4021636248252047,0.016298416369931568,0.003539791812951737,1625,33,F8,real,perm_entropy_to_Pz
0.06617093568377477,0.028286990550953805,2.3392709650247174,0.01932141438641488,0.003361455952045399,1625,33,F8,real,hjorth_mob_to_Pz
0.08818595300681707,0.03596511623532752,2.451985763921833,0.014207028254743514,0.006327873748266494,943,26,F8,pseudo,perm_entropy_to_Pz
0.043018246165712475,0.03637390179261198,1.1826679032396257,0.2369407895244371,0.0014768379377359379,943,26,F8,pseudo,hjorth_mob_to_Pz
0.021391401936139594,0.026869133432424534,0.7961329303730114,0.42595477564675477,0.00039057172929493633,1625,33,FC3,real,perm_entropy_to_Pz
0.0679827693447467,0.026287237835893124,2.586151111392984,0.009705437042964116,0.004137527899066661,1625,33,FC3,real,hjorth_mob_to_Pz
0.033161048016855425,0.03602055503373057,0.9206145764773078,0.357251689196491,0.0008979251997644298,943,26,FC3,pseudo,perm_entropy_to_Pz
0.02180097537125091,0.03514213132134037,0.6203657704167781,0.5350170027375503,0.0004075225712090217,943,26,FC3,pseudo,hjorth_mob_to_Pz
0.05287672586852514,0.02642378699774571,2.00110324356748,0.0453812648806744,0.002459667848712088,1625,33,FC4,real,perm_entropy_to_Pz
0.08359335235901302,0.026825263047694198,3.1162174331855583,0.0018318714699028238,0.005940620611560003,1625,33,FC4,real,hjorth_mob_to_Pz
0.029962881429717314,0.0387229891447619,0.7737750130214424,0.43906385126795144,0.0006344145978214183,943,26,FC4,pseudo,perm_entropy_to_Pz
0.07358807726155088,0.03766253405423079,1.9538801386967328,0.050715393934629205,0.00403206711262716,943,26,FC4,pseudo,hjorth_mob_to_Pz
0.07169138028119469,0.026470691041791228,2.708330514228368,0.00676226413505332,0.004503256611052816,1625,33,FCz,real,perm_entropy_to_Pz
0.07119755872864066,0.025914470395400513,2.747405509057878,0.006006881482730542,0.004623613399499678,1625,33,FCz,real,hjorth_mob_to_Pz
0.0006794171717840783,0.03338877076683213,0.02034867280765545,0.983765228526212,4.3887587892279814e-07,943,26,FCz,pseudo,perm_entropy_to_Pz
0.07655865172397304,0.03552715056038329,2.1549336357232214,0.031167027815867998,0.004896641974791036,943,26,FCz,pseudo,hjorth_mob_to_Pz
0.015585604819185162,0.026490114329101713,0.5883555135155838,0.5562936911867165,0.00021352662876570496,1625,33,FP1,real,perm_entropy_to_Pz
0.016421081517207434,0.025007101107941285,0.6566567410723483,0.5114016556693293,0.00026538798262421367,1625,33,FP1,real,hjorth_mob_to_Pz
0.01676171795726466,0.032254427108736446,0.5196718546808284,0.6032923069778262,0.0002861171798726859,943,26,FP1,pseudo,perm_entropy_to_Pz
0.020228039152684542,0.033557120941047555,0.6027942381654474,0.5466455802862602,0.00038434176326103425,943,26,FP1,pseudo,hjorth_mob_to_Pz
-0.002484795777033283,0.02700476024069868,-0.09201325080785072,0.9266875116330795,5.213079483900357e-06,1625,33,FP2,real,perm_entropy_to_Pz
0.0442671450947847,0.026803537879237185,1.651541124691429,0.09862813061342246,0.001680004332288007,1625,33,FP2,real,hjorth_mob_to_Pz
0.07844098656610146,0.030872726655806985,2.540785834714964,0.011060364574294379,0.006795861915499768,943,26,FP2,pseudo,perm_entropy_to_Pz
0.036488188475111795,0.034359046389308014,1.0619674382600541,0.28825046766211804,0.00119001632344894,943,26,FP2,pseudo,hjorth_mob_to_Pz
0.08926630830444084,0.026758086912599476,3.3360497182034474,0.0008497796493538434,0.006806560143310275,1625,33,Fz,real,perm_entropy_to_Pz
0.086458369835671,0.025336069173570522,3.4124618638893116,0.0006437893418935747,0.007115590658063121,1625,33,Fz,real,hjorth_mob_to_Pz
0.052709413330495475,0.03635866832015637,1.4497069272824452,0.1471402631757026,0.0022223745879042934,943,26,Fz,pseudo,perm_entropy_to_Pz
0.07014748711855356,0.03656757918035944,1.9182972647046321,0.05507332907126683,0.00388700258913079,943,26,Fz,pseudo,hjorth_mob_to_Pz
