subject,pe,se,lz,hjorth_mob,hjorth_cplx,p300,dataset
sub-003,0.4586193868980292,0.21765979295795335,0.2831215535335676,0.06762634293401543,1.5707743431934829,1.3162514865630776e-06,primary
sub-003,0.5116520133842295,0.17671231802944404,0.2831215535335676,0.10792857278924327,1.229368382383841,4.934641921187243e-06,primary
sub-006,0.483904075263095,0.17198936155674935,0.33030847912249556,0.0737344767903668,1.9405653832625094,6.838554443742607e-06,primary
sub-006,0.4885463754126549,0.3941655528542311,0.23593462794463968,0.11197048108347708,1.4056743541680714,3.5410670579907996e-05,primary
sub-006,0.4431697151046668,0.195844312826572,0.23593462794463968,0.07836921629708751,1.5786344524162885,1.9862704431779046e-05,primary
sub-006,0.49719316260446267,0.24821365060265782,0.2831215535335676,0.0882681391289738,1.5964140166509613,6.327906491930127e-06,primary
sub-006,0.49362121162026323,0.3224280734872279,0.23593462794463968,0.08121521206967168,1.4291930476495174,-5.946806259115573e-06,primary
sub-006,0.47831148268730744,0.3320376395533472,0.2831215535335676,0.09786942152426992,1.2052862843359564,-4.395763316335179e-06,primary
sub-006,0.4934702929298053,0.30401849177147444,0.23593462794463968,0.1003595356520556,1.2676315494521113,-4.639872018786563e-06,primary
sub-006,0.48484730543391463,0.35144617385593324,0.33030847912249556,0.09644713889507027,1.3085259273397791,5.253171897311646e-06,primary
sub-006,0.49044594179738504,0.33826132367033807,0.33030847912249556,0.11573389894861996,1.049213042779368,1.4785706295801643e-05,primary
sub-006,0.48958695983087336,0.20259206761694123,0.2831215535335676,0.08332942827171065,1.4987143278947426,4.501828626749419e-06,primary
sub-006,0.515178397405331,0.12419038023138379,0.23593462794463968,0.07116574043100764,1.8522304008139971,-3.3607504685955946e-06,primary
sub-006,0.47959836999095684,0.25649914501509297,0.2831215535335676,0.10753528771544267,1.0554998479919695,-7.80697607090492e-06,primary
sub-006,0.49185872624856797,0.3000149103732411,0.2831215535335676,0.11705786186649227,0.9849750599974556,1.901894520825603e-05,primary
sub-006,0.463182710546265,0.08607460877124302,0.18874770235571173,0.04338099924791893,3.2564312666290247,9.829208642632963e-06,primary
sub-006,0.5343209903748875,0.30748469974796055,0.4246823303003514,0.13043464154560738,1.1909155406511878,-9.702871962700125e-07,primary
sub-006,0.4737971697583387,0.170674170544773,0.33030847912249556,0.07005124854148322,1.6706999478222628,1.6467352816032442e-05,primary
sub-006,0.4886258250401537,0.4034367098467717,0.2831215535335676,0.10243523972237542,1.2624926159559133,-1.5447056538540528e-06,primary
sub-006,0.4621410035709022,0.20136975176464905,0.2831215535335676,0.07528380234241268,1.3943923255713158,6.138502027416327e-06,primary
sub-006,0.4934702929298053,0.29549122276594586,0.33030847912249556,0.09233168304754012,1.3169773761762265,2.193480261621111e-06,primary
sub-006,0.5078801851863846,0.47185719789505853,0.4246823303003514,0.13477893626672874,1.130569003427999,-3.2904579656604083e-06,primary
sub-006,0.4953794006509286,0.1935550364678333,0.2831215535335676,0.0926008418874255,1.4398154803438685,1.4425024521154999e-05,primary
sub-006,0.4793112394639275,0.34909915013027476,0.33030847912249556,0.11330631749429003,1.0459712403918144,2.4711116823146e-06,primary
sub-007,0.45891177942974015,0.18582418734515668,0.1415607767667838,0.07239024236488832,1.8076766823115031,3.8133073914741646e-06,primary
sub-007,0.4963988201184605,0.3832472242105722,0.33030847912249556,0.1161162160306849,1.2656975114903388,8.930887346073412e-06,primary
sub-007,0.47141862711649235,0.15909470618413812,0.2831215535335676,0.05657864728056114,2.375198575859231,5.370049214601237e-06,primary
sub-007,0.43766339830218015,0.17228383136044342,0.2831215535335676,0.05376945835631019,2.395721028259071,5.618646709435107e-06,primary
sub-007,0.5195538321144706,0.17615194878069257,0.2831215535335676,0.06769680016498125,1.831805874750998,1.7103254427746232e-06,primary
sub-007,0.46360471549371146,0.17418791326858835,0.18874770235571173,0.06083483678738033,1.8123183453980132,-6.167288292577333e-07,primary
sub-007,0.45742584578611317,0.2673298436028825,0.23593462794463968,0.07707891612105275,1.4332296380321587,9.164437118785937e-06,primary
sub-007,0.4904085485663873,0.18383213109932148,0.23593462794463968,0.06636086683120435,1.7665055153082942,2.3256247620419443e-06,primary
sub-007,0.5178674014451865,0.2691286645560332,0.2831215535335676,0.10880908658545858,1.0894855870907916,3.981751059216938e-06,primary
sub-007,0.48069000244413135,0.322773392263051,0.2831215535335676,0.08737712806050722,1.7144438826658737,2.047252574670347e-06,primary
sub-007,0.5032189946974756,0.0844275113385816,0.23593462794463968,0.06853318980530516,1.8276491355338946,-5.511362879167384e-07,primary
